sep=\t
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
51.100	85.800	47.300	63.500	0.741
50.500	85.500	46.700	63.500	0.743
50.100	85.200	46.300	63.500	0.745
49.600	84.900	45.900	63.500	0.748
49.300	84.600	45.600	63.500	0.750
49.600	84.400	45.500	63.500	0.753
49.800	84.100	45.200	63.500	0.755
50.300	83.800	45.300	63.500	0.757
52.400	83.600	45.800	63.400	0.759
56.500	83.300	46.700	63.400	0.761
60.500	83.100	47.600	63.400	0.762
63.600	82.900	50.200	63.300	0.764
67.200	82.700	54.200	63.200	0.765
71.600	82.500	58.300	63.200	0.766
75.300	82.300	62.300	63.100	0.767
80.200	82.600	67.200	63.200	0.765
83.600	82.400	72.300	63.200	0.767
86.600	82.300	75.700	63.200	0.768
89.500	82.200	78.400	63.200	0.769
92.000	82.100	80.800	63.200	0.770
94.000	81.900	83.300	63.200	0.771
95.900	81.800	85.700	63.100	0.772
97.600	81.700	87.500	63.100	0.772
99.100	81.600	89.600	63.100	0.773
101.000	81.600	91.300	63.100	0.774
102.200	81.500	92.500	63.100	0.775
103.400	81.400	94.500	63.100	0.775
104.600	81.300	96.100	63.100	0.776
105.500	81.200	97.200	63.100	0.776
106.300	81.200	98.700	63.100	0.777
106.700	81.100	99.700	63.100	0.777
106.900	81.000	100.500	63.000	0.778
106.800	81.000	101.000	63.000	0.778
106.200	80.900	101.400	63.000	0.779
105.400	80.800	101.500	63.000	0.780
104.000	80.800	101.300	63.000	0.780
102.100	80.700	100.700	63.000	0.781
99.800	80.600	99.600	63.000	0.781
97.000	80.500	97.900	63.000	0.782
93.900	80.400	95.900	63.000	0.783
91.500	80.300	93.600	63.000	0.784
89.500	80.200	90.600	63.000	0.785
87.500	80.100	86.900	63.000	0.786
85.800	80.000	83.700	63.000	0.787
84.600	79.900	81.500	63.000	0.789
83.600	79.800	79.600	63.000	0.790
82.500	79.700	78.500	63.000	0.791
81.500	79.600	77.800	63.000	0.792
80.600	79.400	76.900	63.000	0.793
79.500	79.300	75.400	63.000	0.794
78.400	79.200	74.100	63.000	0.795
77.300	79.100	72.900	63.000	0.796
76.100	79.000	71.400	63.000	0.798
75.000	78.800	69.800	63.000	0.799
73.800	78.700	68.200	63.000	0.800
72.800	78.600	66.600	63.000	0.801
71.800	78.500	64.900	63.000	0.803
70.700	78.300	63.400	63.000	0.804
69.800	78.200	62.200	63.000	0.805
68.900	78.100	61.100	63.000	0.806
68.000	78.000	60.000	63.000	0.808
67.100	77.800	59.300	62.900	0.809
66.300	77.700	58.400	62.900	0.810
65.600	77.600	57.700	62.900	0.811
64.800	77.400	57.300	62.900	0.813
64.200	77.300	56.700	62.900	0.814
63.600	77.200	56.100	62.900	0.815
63.000	77.000	55.600	62.900	0.816
62.400	76.900	55.100	62.900	0.818
61.900	76.800	54.400	62.900	0.819
61.300	76.700	54.200	62.900	0.820
60.800	76.500	53.900	62.900	0.821
60.300	76.400	53.400	62.900	0.823
59.800	76.300	52.900	62.900	0.824
59.400	76.200	52.400	62.900	0.825
59.000	76.000	51.900	62.800	0.826
58.400	75.900	51.500	62.800	0.828
58.000	75.800	51.100	62.800	0.829
57.600	75.700	50.700	62.800	0.830
57.200	75.600	50.600	62.800	0.831
56.800	75.400	50.100	62.800	0.833
56.400	75.300	49.500	62.800	0.834
56.100	75.200	49.500	62.800	0.835
55.800	75.100	49.100	62.800	0.836
55.500	75.000	48.700	62.800	0.837
55.200	74.800	48.500	62.700	0.838
55.100	74.700	48.700	62.700	0.839
55.000	74.600	48.700	62.700	0.840
54.800	74.500	48.600	62.700	0.841
54.700	74.400	48.500	62.700	0.842
54.600	74.300	48.700	62.600	0.843
54.600	74.200	48.600	62.600	0.844
54.200	74.000	48.500	62.600	0.845
53.700	73.900	48.300	62.500	0.846
53.300	73.800	48.300	62.500	0.846
52.900	73.700	48.100	62.400	0.847
52.400	73.500	48.200	62.300	0.847
51.900	73.400	47.600	62.200	0.847
51.500	73.300	47.300	62.100	0.847
51.000	73.100	47.100	62.000	0.848
50.600	73.000	47.100	61.900	0.848
50.200	72.900	46.600	61.800	0.848
50.000	72.700	46.100	61.600	0.848
50.000	72.600	46.000	61.500	0.848
50.200	72.500	45.800	61.400	0.847
50.400	72.300	45.800	61.300	0.847
51.700	72.200	46.200	61.200	0.847
55.400	72.100	46.800	61.100	0.847
59.700	72.000	47.800	60.900	0.847
63.000	71.900	49.500	60.800	0.846
