"sep=\t"
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
93.900	91.200	76.700	88.500	0.970
93.400	91.300	77.000	88.500	0.970
93.200	91.300	77.100	88.500	0.969
93.600	91.400	76.800	88.600	0.969
94.200	91.500	77.400	88.600	0.968
94.700	91.600	78.600	88.700	0.968
94.300	91.700	80.700	88.700	0.967
94.700	91.800	82.600	88.800	0.967
94.100	91.900	82.900	88.800	0.966
94.200	92.000	82.400	88.800	0.965
94.700	92.100	84.200	88.900	0.965
94.600	92.200	90.900	89.000	0.965
94.200	92.300	99.800	89.000	0.965
93.300	92.300	105.800	89.100	0.966
93.200	92.300	107.600	89.200	0.966
92.700	92.300	108.300	89.200	0.966
92.800	92.300	110.300	89.300	0.967
92.500	92.300	113.400	89.300	0.968
92.400	92.300	116.000	89.400	0.969
92.400	92.300	117.800	89.500	0.970
93.100	92.200	119.600	89.500	0.971
93.200	92.200	121.800	89.600	0.972
93.200	92.100	123.700	89.700	0.974
92.800	92.100	125.000	89.800	0.975
92.800	92.000	125.700	89.900	0.977
92.700	91.900	126.100	89.900	0.978
92.800	91.900	126.200	90.000	0.980
92.800	91.800	126.000	90.100	0.982
92.900	91.700	125.500	90.200	0.983
92.700	91.700	125.500	90.300	0.985
92.800	91.600	125.100	90.300	0.986
92.900	91.500	124.100	90.400	0.988
92.800	91.500	122.800	90.500	0.989
93.000	91.400	120.700	90.600	0.991
92.800	91.400	117.700	90.700	0.992
92.900	91.300	113.500	90.800	0.994
92.800	91.300	107.300	90.900	0.995
92.800	91.300	100.700	90.900	0.996
92.700	91.300	98.200	91.000	0.997
92.700	91.300	100.300	91.100	0.998
92.600	91.300	101.500	91.100	0.998
92.500	91.300	100.800	91.200	0.999
92.500	91.300	100.700	91.300	1.000
92.400	91.300	101.500	91.400	1.001
92.500	91.300	102.300	91.500	1.002
92.300	91.300	101.900	91.500	1.002
92.400	91.300	101.200	91.600	1.003
92.300	91.300	100.800	91.700	1.004
92.400	91.300	100.600	91.700	1.005
92.400	91.300	100.100	91.800	1.005
92.400	91.300	99.600	91.900	1.006
92.300	91.400	98.900	92.000	1.006
92.400	91.400	98.100	92.000	1.007
92.600	91.400	97.300	92.100	1.008
92.600	91.400	96.500	92.200	1.008
92.500	91.500	95.800	92.200	1.008
92.200	91.500	95.300	92.300	1.009
92.200	91.500	94.400	92.400	1.009
91.900	91.500	93.500	92.400	1.010
92.000	91.600	92.900	92.500	1.010
92.100	91.600	92.200	92.500	1.010
92.100	91.600	91.400	92.600	1.010
92.000	91.700	90.700	92.700	1.010
92.500	91.700	89.900	92.700	1.011
92.200	91.800	89.400	92.800	1.011
92.200	91.800	89.500	92.800	1.011
92.100	91.900	89.600	92.900	1.011
92.100	91.900	89.100	92.900	1.011
92.100	92.000	88.600	93.000	1.011
91.900	92.000	87.600	93.000	1.011
91.900	92.100	86.400	93.100	1.011
91.900	92.100	85.700	93.100	1.011
92.200	92.200	85.500	93.200	1.011
91.900	92.300	84.800	93.200	1.011
92.000	92.300	84.100	93.300	1.011
91.900	92.400	83.600	93.400	1.010
92.000	92.500	82.600	93.400	1.010
92.000	92.500	81.800	93.500	1.010
91.900	92.600	80.600	93.500	1.010
91.800	92.700	79.900	93.600	1.009
92.100	92.800	80.100	93.600	1.009
91.900	92.800	80.200	93.700	1.009
91.800	92.900	79.800	93.700	1.008
91.800	93.000	80.200	93.800	1.008
92.100	93.100	81.600	93.800	1.007
92.100	93.200	83.900	93.800	1.007
91.800	93.300	85.700	93.900	1.007
91.700	93.400	85.600	93.900	1.006
91.600	93.400	85.000	94.000	1.006
91.800	93.500	86.300	94.000	1.005
91.500	93.600	92.300	94.100	1.005
91.600	93.600	101.400	94.100	1.006
91.600	93.600	108.400	94.200	1.006
91.700	93.600	111.600	94.200	1.007
91.900	93.600	112.800	94.300	1.007
91.600	93.500	114.100	94.300	1.008
91.500	93.500	117.000	94.400	1.010
91.300	93.500	120.300	94.500	1.011
91.500	93.400	122.700	94.600	1.012
91.700	93.300	124.400	94.600	1.014
91.700	93.300	126.200	94.700	1.015
91.700	93.200	128.100	94.800	1.017
91.700	93.200	129.600	94.900	1.019
91.700	93.100	130.500	95.000	1.021
91.600	93.000	130.900	95.100	1.023
91.400	92.900	130.800	95.200	1.024
91.400	92.900	130.700	95.300	1.026
91.400	92.800	130.800	95.400	1.028
91.300	92.700	130.500	95.500	1.030
91.400	92.600	130.200	95.600	1.032
91.200	92.500	129.600	95.700	1.034
91.300	92.500	128.600	95.800	1.036
91.400	92.400	127.000	96.000	1.038
91.200	92.400	124.100	96.100	1.040
91.200	92.300	119.600	96.200	1.042
